,Number_Cases
1791,2
1792,4
1793,3
1794,2
1795,6
1796,16
1797,8
1798,6
1799,7
1800,9
1801,6
1803,19
1804,15
1805,23
1806,27
1807,43
1808,9
1809,46
1810,38
1812,40
1813,46
1814,47
1815,41
1816,42
1817,42
1818,38
1819,33
1820,27
1821,41
1822,32
1823,29
1824,41
1825,27
1826,33
1827,47
1828,55
1829,44
1830,57
1831,42
1832,56
1833,41
1834,64
1835,38
1836,51
1837,20
1838,42
1839,50
1840,43
1841,31
1842,44
1843,34
1844,39
1845,52
1846,47
1847,36
1848,36
1849,42
1850,168
1851,98
1852,59
1853,81
1854,71
1855,92
1856,64
1857,73
1858,69
1859,115
1860,68
1861,71
1862,42
1863,83
1864,59
1865,84
1866,134
1867,116
1868,108
1869,205
1870,135
1871,198
1872,198
1873,213
1874,199
1875,211
1876,242
1877,267
1878,225
1879,247
1880,237
1881,248
1882,262
1883,283
1884,272
1885,279
1886,306
1887,291
1888,252
1889,286
1890,312
1891,266
1892,257
1893,294
1894,252
1895,272
1896,234
1897,190
1898,183
1899,217
1900,200
1901,182
1902,216
1903,214
1904,198
1905,174
1906,210
1907,177
1908,184
1909,176
1910,172
1911,243
1912,289
1913,295
1914,274
1915,244
1916,218
1917,217
1918,232
1919,181
1920,224
1921,179
1922,229
1923,215
1924,237
1925,212
1926,201
1927,177
1928,129
1929,138
1930,168
1931,151
1932,169
1933,170
1934,171
1935,160
1936,163
1937,170
1938,151
1939,145
1940,178
1941,166
1942,172
1943,140
1944,164
1945,139
1946,142
1947,118
1948,127
1949,100
1950,103
1951,100
1952,122
1953,87
1954,98
1955,106
1956,127
1957,155
1958,139
1959,136
1960,139
1961,118
1962,158
1963,183
1964,134
1965,141
1966,147
1967,197
1968,140
1969,141
1970,144
1971,179
1972,186
1973,173
1974,154
1975,182
1976,179
1977,155
1978,160
1979,157
1980,153
1981,177
1982,166
1983,173
1984,165
1985,165
1986,161
1987,153
1988,152
1989,140
1990,129
1991,120
1992,120
1993,96
1994,92
1995,91
1996,96
1997,102
1998,92
1999,85
2000,87
2001,85
2002,84
2003,79
2004,80
2005,87
2006,75
2007,74
2008,83
2009,93
2010,84
2011,77
2012,79
2013,75
2014,74
2015,81
2016,69
2017,76
2018,73
2019,60
2020,65
